image_id,l1_mse_mean,l1_mse_std,l1_mse_median,l1_mse_p25,l1_mse_p75,l1_mse_count,l1_cov,l1_sparsity,l1_entropy_norm,l1_kl_uniform,l1_heatmap_entropy_norm,l1_temporal_corr_r,l2_mse_mean,l2_mse_std,l2_mse_median,l2_mse_p25,l2_mse_p75,l2_mse_count,l2_cov,l2_sparsity,l2_entropy_norm,l2_kl_uniform,l2_heatmap_entropy_norm,l2_intra_cos_mean,l2_inter_cos_mean,l2_selectivity_delta,l2_auc_opt,l2_temporal_corr_win,l2_temporal_corr_lattice,l2_temporal_cos_latent
summary_mean,0.001338989611761941,0.0035780126860917765,4.063549175265275e-06,3.534805154245417e-07,0.0006277846517107798,1131.0,0.22175709832839094,0.778242901671609,0.4171369769197289,3.496558343982704,0.4171369769197289,0.8212493140316512,0.005337842604998975,0.008226867952107076,0.0013382506350938202,5.582517494264103e-05,0.007520012921564744,936.0,0.4695553060778306,0.5304446939221694,0.6046086233623567,1.6964107141413023,0.6046086233623567,0.9272430474070364,-0.09467395569016153,1.0219170030971978,0.9589254086367272,0.972294176691484,0.774499705481699,0.9954026113981327
summary_std,0.0005786108335932276,0.0013726426957294236,2.5334940673263457e-05,1.1902612407653424e-06,0.0006707420356219305,0.0,0.06754757634019522,0.06754757634019522,0.08423359100302263,0.5053119660194636,0.08423359100302263,0.24864946149511674,0.0021295169431855042,0.0028102280591140666,0.001391334165211022,0.00016063007822886836,0.0036775357701124677,0.0,0.10429618729962854,0.10429618729962854,0.10557273183312874,0.4529555122954776,0.10557273183312874,0.037700529868701385,0.06376744435964307,0.0630336871082829,0.018385284098742353,0.05478734894992721,0.2909705495167776,0.016838898438148536
summary_count,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25437,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25437,25437,25437
